ISO3,CTSCode,Year,Measurements
ALB,ECCS,1964,-0.154
DZA,ECCS,1964,0.248
ASM,ECCS,1964,-0.146
AND,ECCS,1964,0.303
AGO,ECCS,1964,-0.231
AIA,ECCS,1964,0.099
ATG,ECCS,1964,0.093
ARG,ECCS,1964,-0.353
ABW,ECCS,1964,0.122
AUS,ECCS,1964,-0.014
AUT,ECCS,1964,-0.366
BHS,ECCS,1964,0.092
BHR,ECCS,1964,-0.572
BGD,ECCS,1964,0.1
BRB,ECCS,1964,0.073
BLZ,ECCS,1964,-0.118
BEN,ECCS,1964,-0.259
BTN,ECCS,1964,0.05
BOL,ECCS,1964,-0.128
BWA,ECCS,1964,-0.067
BRA,ECCS,1964,-0.216
VGB,ECCS,1964,0.104
BRN,ECCS,1964,0.036
BGR,ECCS,1964,-0.543
BFA,ECCS,1964,-0.247
BDI,ECCS,1964,-0.167
CPV,ECCS,1964,0.046
KHM,ECCS,1964,0.145
CMR,ECCS,1964,-0.166
CAN,ECCS,1964,-0.299
CAF,ECCS,1964,-0.159
TCD,ECCS,1964,-0.173
CHL,ECCS,1964,-0.172
HKG,ECCS,1964,0.104
MAC,ECCS,1964,0.104
CHN,ECCS,1964,-0.024
COL,ECCS,1964,0.077
COM,ECCS,1964,-0.19
COD,ECCS,1964,-0.123
COG,ECCS,1964,-0.112
COK,ECCS,1964,0.132
CRI,ECCS,1964,-0.183
CUB,ECCS,1964,0.109
CYP,ECCS,1964,-0.583
DNK,ECCS,1964,-0.28
DJI,ECCS,1964,-0.249
DMA,ECCS,1964,0.094
DOM,ECCS,1964,0.19
ECU,ECCS,1964,-0.194
EGY,ECCS,1964,-0.365
SLV,ECCS,1964,-0.083
GNQ,ECCS,1964,-0.139
SWZ,ECCS,1964,0.065
FLK,ECCS,1964,-0.082
FRO,ECCS,1964,0.478
FJI,ECCS,1964,0.205
FIN,ECCS,1964,0.344
FRA,ECCS,1964,0.029
PYF,ECCS,1964,-0.255
GAB,ECCS,1964,-0.123
GMB,ECCS,1964,-0.185
DEU,ECCS,1964,-0.329
GHA,ECCS,1964,-0.22
GIB,ECCS,1964,0.469
GRC,ECCS,1964,-0.311
GRL,ECCS,1964,0.305
GRD,ECCS,1964,-0.151
GLP,ECCS,1964,0.096
GTM,ECCS,1964,-0.08
GUF,ECCS,1964,-0.008
GIN,ECCS,1964,-0.182
GNB,ECCS,1964,-0.228
GUY,ECCS,1964,0.247
HTI,ECCS,1964,0.154
VAT,ECCS,1964,0.21
HND,ECCS,1964,-0.045
HUN,ECCS,1964,-0.869
ISL,ECCS,1964,1.15
IND,ECCS,1964,-0.031
IDN,ECCS,1964,0.002
IRN,ECCS,1964,-0.661
IRQ,ECCS,1964,-0.776
IRL,ECCS,1964,0.156
IMN,ECCS,1964,0.088
ISR,ECCS,1964,-0.634
ITA,ECCS,1964,0.145
JAM,ECCS,1964,-0.052
JPN,ECCS,1964,0.26
JOR,ECCS,1964,-0.655
KEN,ECCS,1964,-0.439
KIR,ECCS,1964,-0.166
PRK,ECCS,1964,0.241
KOR,ECCS,1964,0.604
KWT,ECCS,1964,-0.747
LAO,ECCS,1964,-0.06
LBN,ECCS,1964,-0.707
LSO,ECCS,1964,-0.004
LBR,ECCS,1964,-0.164
LBY,ECCS,1964,-0.064
LIE,ECCS,1964,0.064
MDG,ECCS,1964,-0.352
MWI,ECCS,1964,-0.27
MYS,ECCS,1964,0.052
MLI,ECCS,1964,-0.142
MLT,ECCS,1964,0.276
MTQ,ECCS,1964,0.09
MRT,ECCS,1964,0.086
MUS,ECCS,1964,-0.165
MYT,ECCS,1964,-0.141
MEX,ECCS,1964,-0.304
MCO,ECCS,1964,0.433
MNG,ECCS,1964,-0.179
MSR,ECCS,1964,0.093
MAR,ECCS,1964,0.487
MOZ,ECCS,1964,-0.168
MMR,ECCS,1964,0.027
NPL,ECCS,1964,0.17
NLD,ECCS,1964,-0.341
NCL,ECCS,1964,0.218
NZL,ECCS,1964,-0.454
NIC,ECCS,1964,-0.147
NER,ECCS,1964,-0.283
NGA,ECCS,1964,-0.294
NIU,ECCS,1964,0.077
NFK,ECCS,1964,0.17
NOR,ECCS,1964,0.378
OMN,ECCS,1964,-0.35
PAK,ECCS,1964,-0.359
PNG,ECCS,1964,0.092
PRY,ECCS,1964,-0.292
PER,ECCS,1964,-0.243
PHL,ECCS,1964,-0.025
PCN,ECCS,1964,0.248
POL,ECCS,1964,-0.718
PRT,ECCS,1964,0.526
PRI,ECCS,1964,0.075
QAT,ECCS,1964,-0.476
ROU,ECCS,1964,-0.784
RWA,ECCS,1964,-0.189
SPM,ECCS,1964,-0.527
WSM,ECCS,1964,0.075
SMR,ECCS,1964,-0.098
STP,ECCS,1964,-0.126
SAU,ECCS,1964,-0.479
SEN,ECCS,1964,-0.213
SYC,ECCS,1964,-0.193
SLE,ECCS,1964,-0.163
SLB,ECCS,1964,0.102
SOM,ECCS,1964,0.027
ZAF,ECCS,1964,-0.066
ESP,ECCS,1964,0.487
LKA,ECCS,1964,0.099
KNA,ECCS,1964,0.093
LCA,ECCS,1964,-0.008
VCT,ECCS,1964,-0.153
SUR,ECCS,1964,0.045
SJM,ECCS,1964,-0.505
SWE,ECCS,1964,0.393
CHE,ECCS,1964,0.143
SYR,ECCS,1964,-0.693
TWN,ECCS,1964,0.226
TZA,ECCS,1964,-0.388
THA,ECCS,1964,-0.027
TLS,ECCS,1964,-0.202
TGO,ECCS,1964,-0.18
TKL,ECCS,1964,-0.301
TON,ECCS,1964,0.229
TTO,ECCS,1964,-0.066
TUN,ECCS,1964,0.382
TCA,ECCS,1964,0.254
TUV,ECCS,1964,-0.016
UGA,ECCS,1964,-0.26
ARE,ECCS,1964,-0.296
GBR,ECCS,1964,0.025
USA,ECCS,1964,-0.28
VIR,ECCS,1964,0.099
URY,ECCS,1964,-0.759
VUT,ECCS,1964,0.228
VEN,ECCS,1964,0.033
VNM,ECCS,1964,0.086
WLF,ECCS,1964,0.19
PSE,ECCS,1964,-0.642
ESH,ECCS,1964,0.841
YEM,ECCS,1964,-0.215
ZMB,ECCS,1964,-0.258
ZWE,ECCS,1964,-0.097
AFG,ECCS,1965,-0.233
ALB,ECCS,1965,-0.377
DZA,ECCS,1965,-0.104
ASM,ECCS,1965,-0.538
AND,ECCS,1965,-0.501
AGO,ECCS,1965,-0.2
AIA,ECCS,1965,-0.334
ATG,ECCS,1965,-0.378
ARG,ECCS,1965,0.089
ABW,ECCS,1965,-0.33
AUS,ECCS,1965,0.128
AUT,ECCS,1965,-0.882
BHS,ECCS,1965,-0.003
BHR,ECCS,1965,0.224
BGD,ECCS,1965,-0.198
BRB,ECCS,1965,-0.176
BLZ,ECCS,1965,-0.152
BEN,ECCS,1965,-0.112
BTN,ECCS,1965,-0.577
BOL,ECCS,1965,0.245
BWA,ECCS,1965,0.09
BRA,ECCS,1965,-0.088
VGB,ECCS,1965,-0.29
BRN,ECCS,1965,-0.335
BGR,ECCS,1965,-0.468
BFA,ECCS,1965,-0.163
BDI,ECCS,1965,-0.204
CPV,ECCS,1965,-0.283
KHM,ECCS,1965,-0.212
CMR,ECCS,1965,-0.095
CAN,ECCS,1965,-0.871
CAF,ECCS,1965,-0.061
TCD,ECCS,1965,-0.114
CHL,ECCS,1965,0.143
HKG,ECCS,1965,0.141
MAC,ECCS,1965,0.141
CHN,ECCS,1965,0.076
COL,ECCS,1965,-0.141
COM,ECCS,1965,-0.312
COD,ECCS,1965,-0.189
COG,ECCS,1965,-0.154
COK,ECCS,1965,-0.403
CRI,ECCS,1965,-0.456
CUB,ECCS,1965,0.088
CYP,ECCS,1965,-0.181
DNK,ECCS,1965,-0.611
DJI,ECCS,1965,-0.38
DMA,ECCS,1965,-0.378
DOM,ECCS,1965,-0.332
ECU,ECCS,1965,0.299
EGY,ECCS,1965,-0.08
SLV,ECCS,1965,-0.099
GNQ,ECCS,1965,-0.155
SWZ,ECCS,1965,-0.18
FLK,ECCS,1965,0.178
FRO,ECCS,1965,-0.354
FJI,ECCS,1965,-0.598
FIN,ECCS,1965,-0.261
FRA,ECCS,1965,-0.622
PYF,ECCS,1965,-0.174
GAB,ECCS,1965,-0.134
GMB,ECCS,1965,-0.467
DEU,ECCS,1965,-0.815
GHA,ECCS,1965,-0.141
GIB,ECCS,1965,-0.092
